degree_type,technical_skills,soft_skills,cgpa,projects,internships,communication_level,technical_skill_level,years_of_experience,specialization,package
B.Tech,4,10,8.58,4,2,1,2,1,Web Development,15.68
MCA,17,9,9.8,9,3,5,4,3,Web Development,17.66
PhD,5,6,5.83,7,2,3,1,1,None,13.03
B.Sc,16,9,9.99,2,5,3,4,3,Web Development,18.39
B.Sc,9,3,6.96,9,2,5,3,1,Cloud Computing,16.45
PhD,10,4,8.62,3,2,1,4,5,Data Science,13.9
B.Tech,18,6,7.86,3,0,5,2,1,Cybersecurity,15.16
BCA,17,4,7.43,5,2,1,5,2,Cybersecurity,15.59
M.Tech,18,1,8.49,8,4,1,4,5,Data Science,16.61
B.Tech,7,7,6.98,9,0,1,3,2,App Development,11.75
M.Tech,4,5,5.63,2,1,3,1,5,Cybersecurity,11.23
PhD,5,8,7.44,3,3,5,3,5,App Development,15.03
M.Sc,16,9,7.61,5,0,1,1,2,Cybersecurity,14.22
M.Tech,3,5,6.01,5,0,4,4,5,Data Science,13.97
BCA,18,8,9.68,6,4,1,5,1,Web Development,19.97
M.Sc,14,1,6.14,0,5,1,3,4,None,14.44
M.Tech,15,1,7.05,8,5,1,5,1,App Development,17.32
PhD,17,7,5.77,1,2,2,4,2,None,10.71
M.Sc,1,6,7.68,3,1,4,5,1,AI/ML,14.01
PhD,17,5,6.54,2,4,3,5,4,App Development,14.02
M.Tech,11,5,7.45,2,4,5,3,5,None,14.78
PhD,17,9,6.12,10,0,5,4,3,None,15.38
BCA,14,1,5.27,4,1,5,5,0,App Development,15.76
M.Tech,20,8,8.9,6,4,3,1,2,None,13.32
M.Tech,19,2,8.21,6,5,1,2,1,App Development,16.21
M.Tech,7,7,6.7,6,3,4,1,4,None,13.73
B.Tech,13,6,5.24,2,3,5,5,2,Data Science,14.74
B.Tech,18,10,9.33,8,4,2,4,5,Cybersecurity,16.9
B.Tech,14,2,5.85,5,0,2,1,2,Cybersecurity,11.89
BCA,1,3,9.65,10,3,4,4,3,AI/ML,18.67
M.Sc,7,4,7.39,10,0,5,1,5,AI/ML,15.33
PhD,8,7,6.7,9,2,1,4,0,App Development,14.61
B.Sc,18,8,8.71,10,2,5,5,1,None,19.45
M.Tech,9,2,9.38,7,0,1,3,1,AI/ML,14.22
PhD,1,8,6.85,0,4,5,1,2,Data Science,16.49
M.Tech,17,9,7.04,3,2,2,4,4,Web Development,16.03
BCA,19,7,7.17,6,5,3,1,2,AI/ML,15.63
M.Tech,6,1,9.61,8,2,4,4,3,App Development,17.65
B.Tech,3,6,8.46,2,5,1,4,0,Cloud Computing,18.23
B.Sc,5,8,6.24,10,3,3,3,3,App Development,15.81
MCA,2,5,5.92,5,4,1,4,4,Web Development,15.85
M.Tech,20,2,6.15,7,0,4,1,1,AI/ML,14.74
PhD,4,5,6.32,10,2,3,5,4,None,17.23
B.Tech,10,8,6.15,2,4,3,2,3,Cybersecurity,12.88
MCA,10,2,8.29,5,2,4,4,1,None,17.65
B.Sc,11,1,5.58,8,3,4,2,0,Data Science,17.27
MCA,16,4,6.94,8,4,1,5,2,Cybersecurity,15.55
B.Tech,17,4,8.13,5,1,3,2,0,Cybersecurity,15.15
M.Sc,16,9,6.45,4,3,4,4,2,Data Science,13.2
M.Sc,7,3,5.33,0,0,1,1,0,Web Development,8.74
MCA,16,4,5.41,2,4,5,3,5,Cybersecurity,15.27
BCA,3,3,5.63,2,5,4,4,1,Web Development,16.33
PhD,16,2,9.18,3,2,3,4,1,None,15.28
PhD,8,4,8.29,4,5,5,3,1,Data Science,18.5
MCA,12,8,5.32,10,4,4,3,5,AI/ML,17.56
M.Tech,3,1,6.96,7,0,2,3,5,Cybersecurity,12.22
M.Tech,17,8,6.39,10,5,3,3,2,Cybersecurity,17.73
PhD,18,8,7.89,8,5,3,3,5,Data Science,17.75
PhD,11,3,7.61,6,5,1,4,1,Data Science,14.75
M.Sc,4,10,7.41,9,4,2,2,4,AI/ML,14.79
BCA,16,10,6.57,5,2,4,1,2,None,12.64
B.Tech,17,6,5.69,2,5,2,4,1,Data Science,16.83
M.Tech,9,4,8.71,8,3,4,5,1,None,15.61
PhD,6,1,9.4,9,3,1,4,5,Cloud Computing,15.75
M.Sc,20,1,9.72,0,2,5,4,0,Cloud Computing,17.54
B.Sc,2,5,5.29,8,1,2,2,4,App Development,15.55
M.Sc,9,8,8.7,2,1,3,3,4,App Development,14.46
M.Tech,6,1,8.63,8,3,4,5,5,Data Science,17.23
M.Tech,3,2,9.74,9,5,2,2,2,AI/ML,16.81
M.Sc,20,7,6.26,0,0,4,1,4,None,8.6
B.Tech,6,8,8.71,7,4,2,5,1,Cloud Computing,16.12
MCA,7,3,5.27,5,2,3,5,2,Cybersecurity,12.53
M.Tech,1,8,8.16,8,0,4,2,5,AI/ML,14.97
M.Sc,1,1,6.75,3,5,4,5,3,Data Science,19.24
PhD,5,9,8.84,4,4,5,4,0,Cloud Computing,19.14
M.Sc,6,2,9.32,5,3,1,4,0,AI/ML,17.0
BCA,13,2,6.82,8,2,2,3,3,App Development,14.93
MCA,2,4,7.63,5,0,3,2,5,None,13.36
B.Sc,15,10,5.59,8,4,5,4,2,Cybersecurity,15.93
B.Tech,15,3,7.08,1,3,5,5,3,None,13.34
B.Sc,13,4,6.8,3,3,1,5,4,Data Science,15.43
MCA,14,6,5.92,2,4,3,4,1,Web Development,15.09
MCA,7,7,9.47,3,1,2,2,3,Cloud Computing,16.9
MCA,14,5,5.74,0,1,4,2,3,Cybersecurity,13.19
B.Sc,10,2,8.18,1,4,1,1,4,AI/ML,15.68
PhD,17,3,9.45,3,4,4,2,2,Cloud Computing,14.73
MCA,14,10,9.56,9,4,5,4,1,App Development,20.44
M.Sc,8,3,8.97,3,3,4,1,1,Cloud Computing,18.0
B.Sc,4,5,5.88,4,5,2,5,0,Data Science,16.72
MCA,16,5,9.09,8,5,2,4,1,Cybersecurity,19.46
M.Sc,13,4,6.38,0,2,4,3,1,Cloud Computing,16.13
PhD,20,8,9.61,7,3,4,3,1,Cloud Computing,17.02
BCA,18,6,8.55,2,3,1,2,1,Cybersecurity,16.25
PhD,14,6,8.93,8,1,2,1,4,AI/ML,14.46
MCA,18,1,5.43,10,4,4,1,5,Data Science,14.99
B.Sc,5,6,7.91,7,3,3,5,0,Cloud Computing,17.84
M.Tech,9,3,9.11,7,3,1,2,5,App Development,14.75
MCA,3,6,9.31,8,4,1,1,3,Cybersecurity,18.85
M.Tech,8,10,5.14,3,5,1,4,0,Web Development,13.73
M.Sc,20,6,9.7,4,2,1,5,2,App Development,14.53
BCA,10,2,5.22,6,1,4,1,5,App Development,12.04
B.Tech,19,1,8.07,1,0,5,3,5,AI/ML,16.02
PhD,3,3,8.47,6,5,3,3,3,Data Science,16.45
BCA,11,5,5.54,2,3,5,1,0,Web Development,14.18
MCA,11,4,5.24,5,2,5,3,0,None,15.52
M.Tech,17,7,8.92,5,0,4,4,0,None,13.45
PhD,16,4,6.92,5,5,1,5,0,AI/ML,14.61
M.Tech,7,8,5.54,9,5,1,4,0,Cloud Computing,14.01
B.Sc,4,7,8.81,1,4,4,3,5,Data Science,16.09
M.Tech,19,10,9.25,8,0,4,1,0,AI/ML,13.27
B.Sc,12,9,7.94,7,4,2,1,4,AI/ML,15.43
M.Sc,15,1,5.81,6,5,1,5,4,App Development,17.8
PhD,11,5,5.08,10,5,3,3,3,AI/ML,17.54
PhD,5,4,8.5,8,5,2,3,1,None,16.91
B.Tech,5,6,7.75,3,2,5,3,0,AI/ML,17.2
MCA,15,1,8.25,1,5,1,2,5,Web Development,13.25
B.Sc,18,6,9.07,3,0,4,1,1,Data Science,14.69
B.Tech,11,1,7.17,9,1,4,3,4,Cloud Computing,13.58
M.Tech,12,1,5.62,10,2,4,5,2,Data Science,15.98
M.Tech,2,8,9.7,2,0,1,2,5,App Development,13.64
B.Tech,20,2,7.73,1,3,3,3,0,Web Development,13.76
PhD,15,10,8.08,1,0,4,1,5,Data Science,14.8
M.Tech,20,6,9.67,7,0,1,2,3,Web Development,13.44
M.Sc,4,6,9.66,4,1,5,4,1,Web Development,16.96
M.Sc,18,6,7.86,5,2,2,5,3,Web Development,15.73
B.Tech,6,8,6.49,7,3,1,1,0,Web Development,13.65
B.Sc,19,4,9.99,6,5,1,4,1,AI/ML,15.76
B.Sc,11,3,8.4,6,2,4,1,5,Data Science,16.32
B.Tech,2,6,7.04,6,2,2,5,5,Cybersecurity,13.09
B.Sc,8,4,7.8,10,3,2,3,1,Web Development,18.08
PhD,11,2,7.08,10,3,4,4,5,Web Development,15.88
PhD,5,6,9.44,6,1,3,4,0,Data Science,14.46
B.Sc,18,10,7.41,7,4,1,2,2,AI/ML,15.03
M.Sc,18,5,9.12,0,1,4,3,0,None,14.17
B.Sc,14,9,9.2,2,5,3,5,3,Cloud Computing,16.87
PhD,10,6,9.12,0,3,4,2,4,Web Development,13.58
BCA,3,3,8.61,7,0,5,4,4,AI/ML,13.76
MCA,9,5,9.27,1,0,3,1,4,App Development,14.58
M.Tech,3,10,6.94,6,2,3,5,1,None,16.7
BCA,11,8,5.57,5,2,2,2,1,AI/ML,11.24
B.Sc,12,9,9.21,10,4,1,3,0,None,15.18
M.Sc,12,8,7.49,0,4,4,1,1,Cybersecurity,12.2
B.Tech,3,3,5.64,5,4,4,2,5,Web Development,16.81
B.Sc,7,9,5.58,8,4,1,5,3,AI/ML,15.47
M.Sc,14,3,5.8,2,0,1,1,5,Cybersecurity,13.21
MCA,11,8,8.75,6,3,2,2,0,AI/ML,15.69
B.Sc,7,10,8.55,3,5,1,2,3,App Development,17.64
PhD,10,9,6.02,0,5,5,5,4,App Development,18.37
B.Tech,11,7,9.23,6,4,2,3,3,Cybersecurity,16.21
M.Sc,15,4,6.41,0,1,3,1,5,App Development,12.85
M.Sc,19,10,8.96,10,5,1,2,4,None,17.31
M.Sc,16,9,7.44,3,4,3,5,1,None,13.07
MCA,20,3,8.66,8,0,2,2,0,Cybersecurity,14.39
B.Sc,12,3,6.91,4,2,5,5,2,None,16.72
MCA,18,2,6.74,6,1,5,5,3,App Development,17.98
M.Tech,13,10,9.21,6,4,1,2,0,Cybersecurity,18.32
M.Tech,5,3,5.18,2,0,5,5,5,AI/ML,15.87
B.Sc,4,1,9.87,10,2,4,1,2,Cloud Computing,17.79
PhD,14,4,8.24,7,4,2,5,0,Data Science,16.11
MCA,8,8,7.16,0,0,5,3,2,Cybersecurity,13.87
B.Tech,9,5,8.14,3,0,2,3,0,App Development,13.39
M.Sc,19,2,5.61,9,3,2,5,4,Web Development,14.56
M.Sc,3,3,7.57,3,0,4,1,2,Data Science,14.61
B.Sc,5,1,9.93,1,4,1,4,0,Cloud Computing,17.2
PhD,18,2,6.18,5,0,2,4,2,None,13.86
M.Tech,1,1,8.61,0,1,4,1,4,Data Science,12.61
M.Tech,8,2,7.17,2,0,5,3,2,Data Science,15.92
M.Sc,19,3,8.26,8,0,3,5,2,Cloud Computing,14.65
B.Sc,17,1,6.02,9,5,1,2,0,Web Development,16.02
MCA,17,9,7.35,5,1,3,5,3,Cybersecurity,13.09
M.Tech,11,10,9.9,1,4,4,5,4,AI/ML,18.04
MCA,2,5,5.98,8,2,2,4,5,Web Development,12.88
PhD,6,8,8.18,1,3,4,5,0,App Development,15.47
M.Tech,14,5,7.88,6,5,1,4,1,Web Development,18.63
M.Tech,3,8,7.83,0,2,1,2,2,Cybersecurity,15.27
BCA,12,7,8.08,4,4,5,5,1,None,17.98
M.Tech,4,4,7.51,6,4,4,1,5,Web Development,15.14
B.Tech,12,7,5.08,2,5,1,5,0,App Development,15.14
B.Sc,13,6,9.5,3,1,4,1,5,None,12.52
B.Sc,2,3,9.13,4,2,5,4,5,None,16.77
MCA,2,9,5.87,2,0,5,5,3,Web Development,13.16
PhD,15,10,7.07,5,1,4,4,4,App Development,13.65
M.Tech,17,9,8.85,2,1,1,1,0,Data Science,13.83
B.Tech,7,5,9.9,7,3,2,4,3,Data Science,15.6
MCA,14,8,9.76,6,1,2,3,5,Cloud Computing,16.79
BCA,12,7,9.5,0,2,5,1,0,App Development,13.54
MCA,17,9,5.79,1,4,1,4,5,Cloud Computing,14.34
MCA,14,7,9.57,3,5,5,5,3,Cloud Computing,18.3
M.Tech,6,4,9.39,4,3,5,4,1,AI/ML,17.87
BCA,19,4,6.88,10,5,5,2,3,Cybersecurity,16.16
MCA,6,8,6.97,9,5,5,1,4,AI/ML,15.93
B.Tech,18,6,7.3,10,0,4,4,1,AI/ML,13.88
B.Tech,5,9,8.28,3,2,4,3,2,Cloud Computing,16.85
B.Sc,6,10,6.3,3,0,1,2,1,Cybersecurity,9.83
BCA,2,7,5.11,8,1,1,1,1,AI/ML,11.75
BCA,8,7,5.71,3,2,3,2,2,Data Science,12.97
B.Sc,15,4,7.2,3,5,2,5,1,AI/ML,15.0
MCA,15,3,6.41,3,3,4,3,1,None,13.27
BCA,11,8,8.82,1,5,1,5,5,Data Science,16.38
B.Tech,1,7,5.53,7,3,5,4,2,AI/ML,14.44
B.Tech,18,4,9.59,3,0,4,2,5,App Development,15.55
M.Tech,12,4,9.48,4,4,2,5,2,App Development,15.24
BCA,12,1,9.54,7,5,4,4,4,Cybersecurity,17.41
MCA,11,7,8.7,3,3,2,3,1,App Development,16.24
B.Sc,8,1,5.53,4,0,3,5,1,None,13.16
B.Sc,7,10,7.19,4,4,1,2,1,Data Science,13.54
MCA,2,10,5.66,5,2,2,5,4,App Development,15.41
PhD,11,4,9.94,6,3,3,3,5,Data Science,17.11
M.Sc,10,3,6.67,2,3,4,4,1,Cloud Computing,15.34
M.Tech,3,3,7.93,9,5,1,5,2,Data Science,17.02
B.Sc,20,1,8.9,10,5,2,5,2,App Development,21.36
BCA,10,4,9.6,2,0,2,1,2,None,13.85
M.Tech,18,1,8.78,8,3,1,4,2,None,14.51
BCA,14,8,8.37,0,0,4,1,5,None,10.8
PhD,18,1,7.33,9,3,4,1,5,None,16.17
B.Tech,8,6,8.03,7,0,5,3,5,AI/ML,14.86
M.Tech,10,7,5.47,9,3,4,3,3,None,12.44
B.Sc,13,10,9.42,2,2,1,2,2,None,11.33
M.Tech,8,2,7.72,4,5,3,4,4,AI/ML,16.5
M.Tech,4,4,5.2,2,2,1,4,5,Cloud Computing,12.49
M.Tech,4,3,9.6,9,0,2,3,5,Web Development,16.89
M.Sc,5,9,7.45,0,2,5,3,3,Data Science,15.04
M.Tech,1,7,9.34,9,0,5,1,5,Data Science,17.15
BCA,17,2,9.28,4,5,3,3,1,Data Science,16.56
B.Tech,2,6,9.08,7,0,2,5,2,None,15.57
PhD,8,9,5.31,4,5,4,4,5,AI/ML,17.71
MCA,7,3,6.24,3,1,4,2,1,Cybersecurity,11.19
M.Tech,15,6,9.38,8,2,4,1,2,Cybersecurity,17.37
B.Sc,5,3,9.49,0,1,1,5,2,Cybersecurity,16.07
M.Tech,2,3,7.29,4,5,4,3,5,Cloud Computing,18.04
B.Sc,7,4,7.2,0,5,2,2,3,Cloud Computing,13.57
BCA,8,9,5.88,5,1,5,3,2,AI/ML,13.81
B.Sc,7,8,9.84,9,5,1,5,2,Cybersecurity,17.7
MCA,7,1,6.07,8,3,4,2,0,Web Development,14.28
B.Tech,14,1,5.95,10,0,2,3,4,App Development,16.21
B.Sc,18,7,8.3,1,4,3,5,4,Data Science,16.31
B.Sc,6,3,6.21,3,1,2,5,1,Cybersecurity,15.67
B.Tech,4,7,9.69,7,3,5,2,1,Web Development,18.99
MCA,10,9,5.05,2,2,2,5,3,Data Science,13.25
M.Tech,18,3,5.03,6,4,2,3,1,Data Science,16.98
B.Sc,12,3,7.52,6,5,1,2,0,Cloud Computing,17.52
B.Tech,16,2,7.44,1,0,5,1,1,None,11.98
BCA,7,10,5.82,9,3,4,5,2,Web Development,15.54
B.Tech,6,1,7.47,3,4,5,3,1,Cybersecurity,14.16
BCA,5,9,7.06,0,0,3,2,5,None,11.26
MCA,3,6,9.45,7,0,5,1,1,Cybersecurity,14.77
M.Tech,12,6,5.05,9,4,1,1,2,AI/ML,15.09
B.Tech,15,8,9.88,9,3,4,4,0,None,15.13
PhD,10,5,8.12,8,5,5,4,4,Web Development,20.23
PhD,20,9,5.76,0,4,4,2,0,Data Science,13.54
M.Sc,19,5,5.23,10,1,1,5,0,App Development,14.29
B.Sc,16,2,7.69,6,0,2,3,3,None,11.53
MCA,11,6,6.17,0,2,3,5,3,None,15.29
B.Tech,8,9,6.51,0,5,5,3,2,Cloud Computing,15.1
PhD,3,3,6.23,8,4,4,3,3,AI/ML,17.95
B.Sc,7,10,8.25,9,4,5,4,5,Cloud Computing,17.04
PhD,7,4,7.77,9,0,1,4,4,Data Science,12.85
B.Tech,14,10,5.39,5,0,2,5,2,None,13.01
BCA,2,8,7.63,0,4,1,2,5,Data Science,16.6
B.Tech,10,6,8.96,6,2,4,3,3,App Development,17.21
M.Sc,19,7,5.41,2,0,5,4,1,Cloud Computing,13.79
B.Tech,9,7,9.45,9,0,4,2,5,AI/ML,15.68
B.Tech,16,4,7.89,3,1,1,4,3,Data Science,13.15
M.Sc,19,6,9.75,3,3,5,3,4,Cybersecurity,16.8
MCA,18,9,5.74,7,1,4,1,3,Cybersecurity,11.69
B.Tech,9,3,9.97,0,2,5,4,2,None,14.39
M.Sc,16,8,8.22,7,3,3,2,5,Cybersecurity,15.97
B.Sc,13,7,7.84,8,4,1,5,1,App Development,15.33
BCA,10,4,7.58,10,2,1,5,5,AI/ML,17.81
BCA,20,10,5.12,6,2,3,3,2,AI/ML,11.43
B.Tech,14,3,9.7,0,1,2,1,1,Web Development,12.93
MCA,12,7,8.22,6,3,4,4,5,Web Development,17.02
MCA,19,10,5.46,5,2,2,4,1,App Development,16.12
B.Sc,7,9,5.1,4,3,5,1,4,App Development,14.13
B.Tech,15,10,5.25,4,5,4,3,5,Cybersecurity,14.32
BCA,16,3,8.05,0,4,4,3,0,None,13.99
MCA,8,10,8.07,5,3,4,2,4,App Development,15.04
B.Tech,10,9,7.5,3,1,3,2,0,Cloud Computing,12.2
PhD,4,8,6.53,0,1,1,2,5,Cloud Computing,10.24
MCA,19,3,7.66,7,2,3,3,0,Cybersecurity,15.5
M.Sc,19,8,7.58,7,3,3,4,5,None,14.3
PhD,15,4,5.1,10,1,3,5,4,Web Development,12.92
MCA,14,6,6.41,3,0,2,3,3,AI/ML,11.33
BCA,1,10,5.27,6,1,3,1,4,Cloud Computing,12.77
M.Tech,16,2,9.5,2,4,1,5,2,AI/ML,15.68
PhD,10,8,8.63,7,0,4,3,2,Cybersecurity,14.17
B.Sc,19,9,9.98,6,3,2,3,2,AI/ML,17.59
B.Sc,3,7,6.51,4,5,3,2,2,Cloud Computing,16.35
BCA,5,8,9.39,4,2,3,4,0,None,14.14
MCA,9,7,8.02,8,0,4,4,0,None,14.57
B.Tech,18,10,7.27,5,1,4,5,4,App Development,16.88
MCA,11,4,6.11,5,2,2,3,1,Web Development,14.92
BCA,16,1,8.69,1,5,1,2,1,Cloud Computing,13.36
B.Sc,2,3,9.52,10,5,2,1,5,None,16.01
MCA,12,7,6.18,4,2,4,3,0,Data Science,15.52
B.Sc,6,7,5.88,3,2,1,2,3,AI/ML,11.13
PhD,11,3,8.48,9,2,3,1,0,None,13.17
B.Tech,8,1,9.88,2,3,3,1,3,AI/ML,16.28
PhD,12,10,8.75,8,3,5,5,1,AI/ML,17.27
B.Sc,2,9,6.42,10,3,4,4,0,Cybersecurity,15.77
B.Sc,9,6,7.1,6,1,5,4,5,Cybersecurity,15.67
M.Tech,15,7,6.92,3,3,2,5,4,Cloud Computing,16.6
M.Tech,2,1,9.26,8,2,2,3,2,Web Development,16.45
PhD,1,1,8.86,8,0,1,2,1,Data Science,16.48
M.Sc,10,4,7.94,6,0,4,4,0,Web Development,13.3
PhD,2,7,6.37,4,5,1,5,0,App Development,17.19
M.Tech,12,8,9.69,8,0,1,4,2,Web Development,16.03
B.Sc,8,10,8.27,6,0,2,4,1,Data Science,16.45
BCA,5,9,9.85,8,0,2,4,4,Cybersecurity,15.29
PhD,1,1,7.9,10,5,4,3,4,AI/ML,18.05
B.Sc,15,4,9.11,2,4,2,5,4,None,17.58
BCA,6,4,9.07,10,0,4,4,1,Cybersecurity,18.4
BCA,12,3,6.69,8,0,5,4,5,AI/ML,14.59
M.Tech,8,7,9.82,0,0,3,5,4,None,15.9
PhD,13,1,5.11,4,5,5,1,3,AI/ML,15.68
MCA,19,9,8.84,1,1,2,3,0,Cybersecurity,13.85
B.Tech,1,8,9.83,0,4,3,3,3,Web Development,18.85
M.Tech,11,2,6.69,2,0,3,2,1,AI/ML,10.27
M.Tech,20,2,8.24,6,5,1,2,4,Cybersecurity,15.66
MCA,1,8,7.81,2,5,3,1,4,Web Development,14.42
B.Tech,8,1,8.81,9,3,4,2,4,Data Science,19.26
B.Sc,5,7,9.33,9,1,2,4,2,AI/ML,14.6
M.Sc,17,9,8.02,10,5,2,4,2,Web Development,18.65
PhD,8,3,9.08,8,5,1,2,5,AI/ML,18.23
M.Sc,10,7,6.56,2,4,1,3,4,None,11.76
B.Sc,2,6,6.14,10,3,2,1,0,App Development,12.93
M.Tech,9,7,7.15,5,3,1,4,2,Web Development,12.93
B.Tech,3,7,8.39,1,1,3,1,5,Data Science,11.83
M.Tech,18,10,5.94,7,5,3,2,1,AI/ML,17.21
BCA,7,1,8.4,9,3,4,5,4,None,19.26
M.Tech,15,3,6.97,4,2,1,1,0,Cybersecurity,15.19
M.Tech,20,10,8.98,1,1,2,1,2,App Development,12.91
B.Sc,18,1,5.18,6,1,5,2,1,App Development,14.74
B.Sc,3,5,8.34,2,2,2,2,2,App Development,15.94
B.Sc,14,3,8.25,4,1,5,4,5,Web Development,17.41
M.Sc,2,1,9.7,10,3,5,5,5,Data Science,17.13
BCA,14,2,8.57,8,3,4,5,1,AI/ML,16.52
B.Sc,11,10,8.98,0,3,5,1,4,Data Science,17.48
B.Tech,16,5,9.52,1,2,3,5,0,Data Science,17.51
M.Sc,8,3,8.38,4,3,3,2,3,None,16.2
MCA,7,6,6.45,3,2,4,2,2,AI/ML,14.04
B.Tech,11,9,9.35,0,2,2,2,0,AI/ML,13.98
PhD,3,6,8.74,6,2,2,1,3,Web Development,15.7
PhD,17,2,7.12,8,1,2,3,4,None,13.54
B.Tech,14,2,8.55,0,4,2,2,5,App Development,14.4
B.Sc,6,8,9.34,7,5,3,5,1,Cybersecurity,18.14
MCA,8,8,9.88,8,2,3,5,4,App Development,16.22
MCA,5,6,9.76,1,3,4,2,0,App Development,16.2
M.Sc,8,10,6.63,0,2,4,3,0,None,12.98
MCA,2,7,7.11,5,5,4,1,2,Data Science,16.32
PhD,15,1,5.55,6,0,2,2,5,App Development,10.51
BCA,12,9,6.24,1,1,2,1,3,AI/ML,14.02
B.Sc,17,5,9.41,4,3,3,3,3,Data Science,17.76
MCA,1,9,6.8,4,1,3,2,2,None,10.73
M.Sc,15,2,8.1,6,1,1,2,5,App Development,12.06
PhD,14,8,8.33,10,0,1,2,4,Web Development,15.31
BCA,20,7,8.91,0,2,2,4,3,Web Development,14.25
M.Tech,16,4,5.91,9,3,3,2,5,Web Development,14.14
M.Tech,9,3,6.52,7,4,2,2,4,Cybersecurity,16.91
BCA,1,4,7.24,4,1,5,3,1,Cloud Computing,14.07
PhD,17,4,6.82,2,5,1,3,0,Cloud Computing,15.65
M.Sc,13,10,9.91,8,4,4,4,1,App Development,19.03
BCA,5,10,9.17,10,4,2,2,2,None,15.22
B.Sc,10,8,7.4,2,2,5,5,3,Cloud Computing,15.0
B.Sc,6,4,9.4,6,4,4,1,1,Cybersecurity,19.16
M.Tech,19,5,6.74,9,3,5,2,0,Cybersecurity,15.3
MCA,13,2,8.93,6,2,3,4,3,Data Science,17.98
M.Sc,1,4,6.12,9,5,3,5,4,Data Science,19.18
M.Tech,20,7,8.86,7,4,3,3,3,Web Development,15.17
MCA,15,3,7.28,9,2,4,1,5,Cybersecurity,16.08
MCA,14,1,5.54,7,3,4,4,0,App Development,16.77
B.Sc,8,8,6.37,3,1,3,3,3,Cloud Computing,13.19
PhD,10,8,7.01,0,0,4,2,1,Cloud Computing,13.05
B.Tech,9,6,8.75,3,2,3,4,2,Data Science,14.16
PhD,17,7,5.36,5,5,2,2,1,Web Development,13.71
B.Tech,9,10,8.3,9,0,3,4,5,Web Development,16.82
BCA,3,2,8.58,10,1,1,4,3,App Development,16.56
B.Sc,11,5,8.27,5,5,2,2,5,AI/ML,14.54
MCA,12,7,8.8,5,3,3,4,4,None,18.22
M.Sc,10,9,5.89,6,5,1,3,3,Cybersecurity,17.42
B.Tech,17,1,7.94,10,1,3,3,5,Cloud Computing,14.48
PhD,17,3,9.71,0,0,2,1,0,App Development,15.2
MCA,11,6,8.05,9,3,3,1,1,Cloud Computing,14.77
B.Tech,4,7,8.06,0,5,4,4,1,Data Science,16.95
B.Tech,7,6,8.68,6,4,3,3,3,Data Science,18.42
B.Tech,14,1,6.67,3,4,2,2,2,Cybersecurity,13.72
M.Sc,7,4,8.5,5,2,5,4,3,App Development,16.98
B.Sc,8,6,9.58,5,4,3,2,2,None,15.7
M.Sc,1,8,5.05,8,5,4,5,3,App Development,18.13
M.Tech,4,10,9.35,1,0,2,1,1,Data Science,13.2
MCA,12,4,6.09,3,4,1,4,5,App Development,14.99
B.Sc,3,7,7.28,3,2,5,4,2,Data Science,17.3
B.Sc,13,3,9.26,6,3,3,2,0,Cloud Computing,17.45
B.Sc,20,8,9.12,0,4,2,1,5,Cybersecurity,15.11
PhD,6,1,9.46,4,2,4,2,2,Cloud Computing,15.78
B.Sc,11,4,9.7,10,4,4,2,4,Cloud Computing,16.45
M.Sc,4,8,7.24,3,4,2,1,5,Data Science,12.23
B.Sc,20,10,8.28,1,5,4,5,0,None,18.63
BCA,16,4,6.95,4,0,5,3,3,Cloud Computing,12.6
MCA,7,2,6.75,8,2,1,3,4,Cybersecurity,13.53
B.Sc,11,2,7.16,7,2,4,5,0,Data Science,16.95
MCA,1,4,8.72,8,1,4,1,3,Cybersecurity,17.07
BCA,7,4,7.51,6,1,1,4,2,Web Development,16.27
BCA,12,2,9.07,9,2,5,1,3,Cybersecurity,18.29
MCA,7,7,8.73,6,5,5,2,1,Cybersecurity,20.13
B.Tech,7,6,5.1,1,0,5,1,0,AI/ML,9.44
M.Tech,10,3,8.15,2,4,4,3,2,None,14.69
PhD,16,8,7.18,10,3,4,4,3,None,18.18
B.Tech,8,8,7.28,9,5,5,5,2,None,17.5
B.Tech,9,1,9.09,7,4,4,1,2,App Development,18.81
M.Sc,9,3,7.74,10,3,3,4,5,App Development,14.73
PhD,2,5,9.43,1,0,4,4,0,Cybersecurity,15.18
PhD,13,2,8.56,6,1,5,3,2,None,17.15
B.Tech,13,5,7.76,5,2,2,2,0,Cloud Computing,13.36
B.Sc,4,10,8.77,9,0,5,4,2,Cloud Computing,18.81
M.Sc,12,3,5.19,3,3,2,4,2,App Development,11.46
M.Sc,17,9,5.14,10,5,4,1,3,Data Science,13.58
BCA,2,1,5.42,3,2,4,5,4,App Development,14.44
PhD,13,4,7.19,2,3,2,1,0,None,10.75
B.Tech,18,10,6.18,5,4,5,3,1,Web Development,14.54
BCA,15,6,9.92,2,4,1,4,5,Data Science,15.74
MCA,8,9,7.71,8,5,1,2,0,Cybersecurity,16.23
M.Tech,15,3,8.31,3,4,5,4,2,None,15.64
M.Sc,1,3,6.39,3,2,4,2,5,App Development,16.04
MCA,20,5,6.61,1,1,2,2,4,None,13.5
MCA,10,7,6.68,1,1,2,2,5,None,12.85
B.Sc,12,5,8.49,6,3,5,5,0,Cybersecurity,18.59
M.Tech,5,8,7.37,4,1,5,1,2,Cloud Computing,12.64
MCA,9,5,7.59,2,1,3,3,5,None,13.56
